JobID,Submit,Start,End,NNodes,QOS,State,Elapsed,User
22175776,2024-02-25 15:00:33,2024-02-25 15:20:49,2024-02-25 15:25:57,6,regular_1,COMPLETED,00:05:08,joeschm
22175721,2024-02-25 14:58:27,2024-02-25 14:59:14,2024-02-25 15:04:34,6,debug,COMPLETED,00:05:20,joeschm
22138909,2024-02-24 17:33:45,2024-02-24 17:39:15,2024-02-24 17:45:42,6,debug,COMPLETED,00:06:27,joeschm
22136583,2024-02-24 16:09:38,2024-02-24 16:09:48,2024-02-24 16:40:17,6,debug,TIMEOUT,00:30:29,joeschm
22114264,2024-02-23 18:27:12,2024-02-23 18:28:42,2024-02-23 18:33:49,6,debug,COMPLETED,00:05:07,joeschm
22114095,2024-02-23 18:11:11,2024-02-23 18:11:18,2024-02-23 18:41:26,6,debug,TIMEOUT,00:30:08,joeschm
22113855,2024-02-23 18:04:44,2024-02-23 18:05:12,2024-02-23 18:24:58,6,debug,COMPLETED,00:19:46,joeschm
22111430,2024-02-23 16:17:10,2024-02-23 16:23:27,2024-02-23 16:53:54,6,debug,TIMEOUT,00:30:27,joeschm
19575084,2023-12-19 14:44:53,2023-12-19 14:46:34,2023-12-19 14:51:17,6,debug,COMPLETED,00:04:43,joeschm
19575070,2023-12-19 14:44:29,2023-12-19 14:46:34,2023-12-19 14:54:26,6,debug,COMPLETED,00:07:52,joeschm
19568420,2023-12-19 13:09:31,2023-12-19 13:23:08,2023-12-19 13:29:03,6,debug,COMPLETED,00:05:55,joeschm
19568374,2023-12-19 13:09:12,2023-12-19 13:19:35,2023-12-19 13:25:47,6,debug,COMPLETED,00:06:12,joeschm
19568371,2023-12-19 13:09:04,2023-12-19 13:13:02,2023-12-19 13:19:22,6,debug,COMPLETED,00:06:20,joeschm
19568370,2023-12-19 13:08:53,2023-12-19 13:12:08,2023-12-19 13:22:53,6,debug,COMPLETED,00:10:45,joeschm
19566823,2023-12-19 12:52:32,2023-12-19 12:58:59,2023-12-19 13:03:24,6,debug,COMPLETED,00:04:25,joeschm
19566822,2023-12-19 12:52:23,2023-12-19 12:55:57,2023-12-19 13:00:39,6,debug,COMPLETED,00:04:42,joeschm
19566816,2023-12-19 12:52:15,2023-12-19 12:53:33,2023-12-19 12:58:22,6,debug,COMPLETED,00:04:49,joeschm
19566790,2023-12-19 12:50:24,2023-12-19 12:50:33,2023-12-19 12:55:21,6,debug,COMPLETED,00:04:48,joeschm
19559662,2023-12-19 10:25:05,2023-12-19 10:27:46,2023-12-19 10:33:14,6,debug,COMPLETED,00:05:28,joeschm
19557366,2023-12-19 09:11:49,2023-12-19 10:12:46,2023-12-19 10:27:32,6,regular_1,COMPLETED,00:14:46,joeschm
19557209,2023-12-19 09:03:59,2023-12-19 09:32:29,2023-12-19 09:47:58,6,debug,COMPLETED,00:15:29,joeschm
19557107,2023-12-19 09:02:21,2023-12-19 09:02:47,2023-12-19 09:18:09,6,debug,COMPLETED,00:15:22,joeschm
19557034,2023-12-19 09:00:31,2023-12-19 09:01:55,2023-12-19 09:11:50,6,debug,COMPLETED,00:09:55,joeschm
19556723,2023-12-19 08:50:27,2023-12-19 08:51:06,2023-12-19 08:59:54,6,debug,COMPLETED,00:08:48,joeschm
19556363,2023-12-19 08:27:31,2023-12-19 08:31:42,2023-12-19 08:41:39,6,debug,COMPLETED,00:09:57,joeschm
19556171,2023-12-19 08:16:29,2023-12-19 08:17:06,2023-12-19 08:21:17,6,debug,COMPLETED,00:04:11,joeschm
19555472,2023-12-19 07:44:19,2023-12-19 07:46:00,2023-12-19 07:50:13,6,debug,COMPLETED,00:04:13,joeschm
19554863,2023-12-19 07:26:47,2023-12-19 07:27:24,2023-12-19 07:31:57,6,debug,COMPLETED,00:04:33,joeschm
19554586,2023-12-19 07:11:29,2023-12-19 07:12:54,2023-12-19 07:20:33,6,debug,COMPLETED,00:07:39,joeschm
19554196,2023-12-19 06:51:54,2023-12-19 06:52:33,2023-12-19 07:02:15,6,debug,COMPLETED,00:09:42,joeschm
19544428,2023-12-18 21:33:17,2023-12-19 00:32:38,2023-12-19 00:38:58,12,regular_1,COMPLETED,00:06:20,joeschm
19544423,2023-12-18 21:32:57,2023-12-18 23:24:31,2023-12-18 23:30:24,12,regular_1,COMPLETED,00:05:53,joeschm
19544416,2023-12-18 21:32:39,2023-12-18 23:20:07,2023-12-18 23:26:40,12,regular_1,COMPLETED,00:06:33,joeschm
19544406,2023-12-18 21:32:13,2023-12-18 23:06:58,2023-12-19 01:32:40,12,regular_1,COMPLETED,02:25:42,joeschm
19537637,2023-12-18 17:56:00,2023-12-18 19:24:02,2023-12-18 21:47:22,12,regular_1,COMPLETED,02:23:20,joeschm
19537543,2023-12-18 17:54:42,2023-12-18 19:05:19,2023-12-18 21:35:27,12,regular_1,TIMEOUT,02:30:08,joeschm
19537531,2023-12-18 17:53:36,2023-12-18 18:29:34,2023-12-18 20:59:54,12,regular_1,TIMEOUT,02:30:20,joeschm
19537515,2023-12-18 17:52:31,2023-12-18 18:14:45,2023-12-18 20:45:10,12,regular_1,TIMEOUT,02:30:25,joeschm
19525379,2023-12-18 12:39:26,2023-12-18 16:19:02,2023-12-18 18:49:04,12,regular_1,TIMEOUT,02:30:02,joeschm
19520735,2023-12-18 12:07:51,2023-12-18 12:11:02,2023-12-18 12:41:20,6,debug,TIMEOUT,00:30:18,joeschm
18933131,2023-12-04 08:41:42,2023-12-04 20:23:17,2023-12-04 21:56:43,12,regular_1,COMPLETED,01:33:26,joeschm
18932728,2023-12-04 08:37:53,2023-12-04 18:30:51,2023-12-04 18:49:22,12,regular_1,COMPLETED,00:18:31,joeschm
18932568,2023-12-04 08:33:48,2023-12-04 16:50:09,2023-12-04 22:25:55,12,regular_1,COMPLETED,05:35:46,joeschm
18931796,2023-12-04 08:20:05,2023-12-04 13:16:37,2023-12-04 14:08:42,6,regular_1,COMPLETED,00:52:05,joeschm
18927408,2023-12-04 07:23:14,2023-12-04 12:48:39,2023-12-04 13:37:59,12,regular_1,COMPLETED,00:49:20,joeschm
18927196,2023-12-04 07:20:49,2023-12-04 10:59:08,2023-12-04 13:40:46,12,regular_1,COMPLETED,02:41:38,joeschm
18927077,2023-12-04 07:17:30,2023-12-04 07:58:06,2023-12-04 07:58:18,6,regular_1,COMPLETED,00:00:12,joeschm
18907286,2023-12-03 20:57:21,2023-12-04 01:07:36,2023-12-04 02:55:51,18,regular_1,COMPLETED,01:48:15,joeschm
18907227,2023-12-03 20:52:02,2023-12-04 02:08:53,2023-12-04 02:23:15,24,regular_1,COMPLETED,00:14:22,joeschm
18907128,2023-12-03 20:44:28,2023-12-04 00:53:58,2023-12-04 04:24:01,18,regular_1,TIMEOUT,03:30:03,joeschm
18906735,2023-12-03 20:40:12,,2023-12-03 20:41:40,18,regular_1,CANCELLED by 95065,00:00:00,joeschm
18905108,2023-12-03 20:13:33,2023-12-03 20:53:52,2023-12-03 21:24:06,6,debug,TIMEOUT,00:30:14,joeschm
18905065,2023-12-03 20:12:25,2023-12-03 20:40:37,2023-12-03 20:54:35,6,debug,COMPLETED,00:13:58,joeschm
18905036,2023-12-03 20:11:48,2023-12-03 20:40:07,2023-12-03 20:53:11,6,debug,COMPLETED,00:13:04,joeschm
18904621,2023-12-03 20:06:24,2023-12-03 20:10:10,2023-12-03 20:40:37,6,debug,TIMEOUT,00:30:27,joeschm
18904528,2023-12-03 20:04:00,2023-12-03 20:09:42,2023-12-03 20:40:06,6,debug,TIMEOUT,00:30:24,joeschm
18903316,2023-12-03 19:52:57,2023-12-03 20:03:45,2023-12-03 20:07:31,6,debug,CANCELLED by 95065,00:03:46,joeschm
18902329,2023-12-03 19:33:42,2023-12-03 19:45:51,2023-12-03 19:59:49,6,debug,COMPLETED,00:13:58,joeschm
18902175,2023-12-03 19:31:51,2023-12-03 19:35:06,2023-12-03 19:45:38,6,debug,COMPLETED,00:10:32,joeschm
18902120,2023-12-03 19:30:39,2023-12-03 19:34:56,2023-12-03 20:02:08,6,debug,COMPLETED,00:27:12,joeschm
18898960,2023-12-03 18:32:25,2023-12-03 18:59:07,2023-12-03 19:24:27,6,debug,COMPLETED,00:25:20,joeschm
18898925,2023-12-03 18:30:26,2023-12-03 18:59:07,2023-12-03 19:29:21,6,debug,TIMEOUT,00:30:14,joeschm
18898818,2023-12-03 18:22:23,2023-12-03 18:28:56,2023-12-03 18:59:02,6,debug,TIMEOUT,00:30:06,joeschm
18898763,2023-12-03 18:16:36,2023-12-03 18:28:41,2023-12-03 18:59:02,6,debug,TIMEOUT,00:30:21,joeschm
18898414,2023-12-03 17:52:35,2023-12-03 17:59:31,2023-12-03 18:13:30,6,debug,COMPLETED,00:13:59,joeschm
18898211,2023-12-03 17:42:09,2023-12-03 17:44:10,2023-12-03 18:14:14,6,debug,TIMEOUT,00:30:04,joeschm
18898055,2023-12-03 17:31:59,2023-12-03 17:32:00,2023-12-03 17:58:49,6,debug,COMPLETED,00:26:49,joeschm
18897929,2023-12-03 17:22:32,2023-12-03 17:23:54,2023-12-03 17:24:19,6,debug,COMPLETED,00:00:25,joeschm
18897540,2023-12-03 17:06:07,2023-12-03 17:07:32,2023-12-03 17:08:07,6,debug,COMPLETED,00:00:35,joeschm
18895714,2023-12-03 16:34:11,2023-12-03 16:34:12,2023-12-03 16:57:16,6,debug,COMPLETED,00:23:04,joeschm
18895691,2023-12-03 16:33:18,2023-12-03 16:33:23,2023-12-03 16:33:25,6,debug,CANCELLED by 95065,00:00:02,joeschm
18895305,2023-12-03 16:16:38,2023-12-03 16:16:44,2023-12-03 16:47:12,6,debug,TIMEOUT,00:30:28,joeschm
18893596,2023-12-03 15:22:46,2023-12-03 15:24:21,2023-12-03 15:54:29,6,debug,TIMEOUT,00:30:08,joeschm
18893284,2023-12-03 15:00:20,2023-12-03 15:02:53,2023-12-03 15:33:24,6,debug,TIMEOUT,00:30:31,joeschm
18893228,2023-12-03 14:51:51,2023-12-03 14:56:31,2023-12-03 14:59:17,6,debug,COMPLETED,00:02:46,joeschm
18893106,2023-12-03 14:37:06,2023-12-03 14:45:43,2023-12-03 14:51:12,6,debug,CANCELLED by 95065,00:05:29,joeschm
18893096,2023-12-03 14:34:24,2023-12-03 14:34:34,2023-12-03 14:45:13,6,debug,COMPLETED,00:10:39,joeschm
18892962,2023-12-03 14:16:46,2023-12-03 14:16:51,2023-12-03 14:46:53,6,debug,TIMEOUT,00:30:02,joeschm
18892790,2023-12-03 14:07:17,2023-12-03 14:07:24,2023-12-03 14:16:13,6,debug,CANCELLED by 95065,00:08:49,joeschm
18855580,2023-12-02 12:57:55,2023-12-02 12:58:18,2023-12-02 13:09:06,6,debug,COMPLETED,00:10:48,joeschm
18855298,2023-12-02 12:36:04,2023-12-02 12:38:30,2023-12-02 12:55:02,6,debug,COMPLETED,00:16:32,joeschm
18855053,2023-12-02 12:24:56,2023-12-02 12:26:31,2023-12-02 12:33:14,6,debug,COMPLETED,00:06:43,joeschm
18854964,2023-12-02 12:23:50,2023-12-02 12:23:50,2023-12-02 12:30:44,6,debug,COMPLETED,00:06:54,joeschm
18853558,2023-12-02 12:05:20,2023-12-02 12:09:51,2023-12-02 12:14:37,6,debug,COMPLETED,00:04:46,joeschm
18850577,2023-12-02 10:32:09,2023-12-02 10:34:41,2023-12-02 11:05:10,6,debug,TIMEOUT,00:30:29,joeschm
18850555,2023-12-02 10:31:20,2023-12-02 10:34:37,2023-12-02 10:37:20,6,debug,COMPLETED,00:02:43,joeschm
18849148,2023-12-02 09:37:57,2023-12-02 09:47:35,2023-12-02 09:54:53,6,debug,COMPLETED,00:07:18,joeschm
18849146,2023-12-02 09:37:48,2023-12-02 09:47:35,2023-12-02 09:54:57,6,debug,COMPLETED,00:07:22,joeschm
18826529,2023-12-01 12:33:10,2023-12-01 12:39:59,2023-12-01 12:43:41,6,debug,COMPLETED,00:03:42,joeschm
18805481,2023-11-30 17:54:23,2023-11-30 17:55:03,2023-11-30 18:00:33,6,debug,COMPLETED,00:05:30,joeschm
18805267,2023-11-30 17:52:17,2023-11-30 17:53:09,2023-11-30 18:02:54,6,debug,COMPLETED,00:09:45,joeschm
18805076,2023-11-30 17:51:00,2023-11-30 17:51:21,2023-11-30 17:53:54,6,debug,CANCELLED by 95065,00:02:33,joeschm
18804682,2023-11-30 17:39:31,2023-11-30 17:45:00,2023-11-30 17:50:26,6,debug,COMPLETED,00:05:26,joeschm
18804662,2023-11-30 17:34:39,2023-11-30 17:38:42,2023-11-30 17:44:06,6,debug,COMPLETED,00:05:24,joeschm
18804655,2023-11-30 17:33:43,2023-11-30 17:38:42,2023-11-30 17:47:13,6,debug,COMPLETED,00:08:31,joeschm
18804169,2023-11-30 16:42:06,2023-11-30 16:42:58,2023-11-30 17:01:24,6,debug,COMPLETED,00:18:26,joeschm
18792940,2023-11-29 09:59:18,2023-11-30 15:21:58,2023-11-30 15:52:26,6,debug,TIMEOUT,00:30:28,joeschm
18771117,2023-11-28 19:37:53,2023-11-28 19:37:55,2023-11-28 19:56:20,6,debug,COMPLETED,00:18:25,joeschm
18771106,2023-11-28 19:36:57,2023-11-28 19:36:58,2023-11-28 20:02:34,6,debug,COMPLETED,00:25:36,joeschm
18770189,2023-11-28 18:49:05,2023-11-28 19:07:58,2023-11-28 19:29:29,6,debug,COMPLETED,00:21:31,joeschm
